"reportInfoId","region","country","diseases","eventIdOIEReference","oieReference","eventStatus","outbreakInfoId","outbreakStartDate","outbreakEndDate","animalType","latitude","longitude","reportInfoIdlink"
"598","Africa","Botswana","Aeromonas hydrophila (Inf. with)","5381","10973","Resolved","3480","2006-12-20","2007-04-23","Aquatic","-17.8071","24.9454","https://wahis.oie.int/#/report-info?reportId=598"
"5534","Africa","Botswana","Anthrax ","15309","1000044323","Resolved","24496","2014-04-28","2014-05-23","Terrestrial","-17.9461","24.824","https://wahis.oie.int/#/report-info?reportId=5534"
"6273","Africa","Botswana","Anthrax ","17077","1000060356","Resolved","34431","2015-01-27","2015-01-28","Terrestrial","-17.8961","24.9244","https://wahis.oie.int/#/report-info?reportId=6273"
"6850","Africa","Botswana","Anthrax ","18360","1000064780","Resolved","36682","2015-07-06","2015-08-11","Terrestrial","-17.79495","25.15545","https://wahis.oie.int/#/report-info?reportId=6850"
"7494","Africa","Botswana","Anthrax ","19669","1000069545","Resolved","39269","2015-08-05","2015-09-30","Terrestrial","-17.79495","25.15545","https://wahis.oie.int/#/report-info?reportId=7494"
"14573","Africa","Botswana","Anthrax ","30490","1000115369","Resolved","63563","2019-05-09","2019-11-20","Terrestrial","-17.9065","25.15467","https://wahis.oie.int/#/report-info?reportId=14573"
"946","Africa","Botswana","Aphanomyces invadans (Inf. with) (Epizootic ulcerative syndrome)","5627","12247","Resolved","4052","2006-12-20","2007-09-03","Aquatic","-17.8071","24.9454","https://wahis.oie.int/#/report-info?reportId=946"
"3008","Africa","Botswana","Aphanomyces invadans (Inf. with) (Epizootic ulcerative syndrome)","9942","1000016201","Resolved","15328","2010-08-04","2010-10-31","Aquatic","-18.3391","21.9227","https://wahis.oie.int/#/report-info?reportId=3008"
"16236","Africa","Botswana","Aphanomyces invadans (Inf. with) (Epizootic ulcerative syndrome)","35358","1000135081","Resolved","75370","2020-07-31","2020-11-12","Aquatic","-17.80165","25.16024","https://wahis.oie.int/#/report-info?reportId=16236"
"5743","Africa","Botswana","Bluetongue virus (Inf. with) ","15919","1000047364","Resolved","25993","2014-02-24","2014-08-26","Terrestrial","-24.1403","25.38","https://wahis.oie.int/#/report-info?reportId=5743"
"7934","Africa","Botswana","Bluetongue virus (Inf. with) ","20145","1000071171","Resolved","40233","2016-05-01","2016-08-04","Terrestrial","-25.59165","25.48165","https://wahis.oie.int/#/report-info?reportId=7934"
"9162","Africa","Botswana","Bluetongue virus (Inf. with) ","23324","1000086496","Resolved","48442","2017-01-25","2017-03-21","Terrestrial","-24.28333","26.21667","https://wahis.oie.int/#/report-info?reportId=9162"
"10273","Africa","Botswana","Bluetongue virus (Inf. with) ","23515","1000087551","Resolved","48923","2017-03-10","2017-11-19","Terrestrial","-24.62645","26.1015","https://wahis.oie.int/#/report-info?reportId=10273"
"7769","Africa","Botswana","Brucella abortus (Inf. with) ","18602","1000065532","Resolved","37096","2015-08-10","2016-10-30","Terrestrial","-25.4561","25.42498","https://wahis.oie.int/#/report-info?reportId=7769"
"7769","Africa","Botswana","Brucella abortus (Inf. with) ","18602","1000065460","Resolved","37065","2015-08-31","2016-10-30","Terrestrial","-25.07462","25.509","https://wahis.oie.int/#/report-info?reportId=7769"
"11811","Africa","Botswana","Brucella abortus (Inf. with) ","28367","1000106383","Resolved","58854","2018-08-07","2018-10-23","Terrestrial","-18.034499","24.32116","https://wahis.oie.int/#/report-info?reportId=11811"
"15752","Africa","Botswana","Brucella abortus (Inf. with) ","30537","1000115572","On-going","63650","2019-04-09","2019-04-20","Terrestrial","-25.07813","25.7148","https://wahis.oie.int/#/report-info?reportId=15752"
"7648","Africa","Botswana","Dourine ","19731","1000069799","Resolved","39441","2015-12-29","2016-06-17","Terrestrial","-23.41033","25.97082","https://wahis.oie.int/#/report-info?reportId=7648"
"7648","Africa","Botswana","Dourine ","19731","1000069797","Resolved","39440","2015-12-21","2016-06-17","Terrestrial","-24.3","26","https://wahis.oie.int/#/report-info?reportId=7648"
"7648","Africa","Botswana","Dourine ","19731","1000069796","Resolved","39439","2015-10-30","2016-06-17","Terrestrial","-25.02217","24.99497","https://wahis.oie.int/#/report-info?reportId=7648"
"834","Africa","Botswana","Foot and mouth disease virus (Inf. with) ","5939","15218","Resolved","6029","2005-07-28","2005-11-02","Terrestrial","-18.53","25.65","https://wahis.oie.int/#/report-info?reportId=834"
"520","Africa","Botswana","Foot and mouth disease virus (Inf. with) ","5143","10031","Resolved","3162","2006-04-11","2006-11-08","Terrestrial","-21.99","28.03","https://wahis.oie.int/#/report-info?reportId=520"
"520","Africa","Botswana","Foot and mouth disease virus (Inf. with) ","5143","9864","Resolved","3111","2006-04-11","2006-11-08","Terrestrial","-21.91","27.74","https://wahis.oie.int/#/report-info?reportId=520"
"520","Africa","Botswana","Foot and mouth disease virus (Inf. with) ","5143","10030","Resolved","3146","2006-04-11","2006-11-08","Terrestrial","-21.89","28.02","https://wahis.oie.int/#/report-info?reportId=520"
"520","Africa","Botswana","Foot and mouth disease virus (Inf. with) ","5143","10033","Resolved","3164","2006-04-11","2006-11-08","Terrestrial","-22.01","28.21","https://wahis.oie.int/#/report-info?reportId=520"
"520","Africa","Botswana","Foot and mouth disease virus (Inf. with) ","5143","10032","Resolved","3163","2006-04-11","2006-11-08","Terrestrial","-22","28.1","https://wahis.oie.int/#/report-info?reportId=520"
"520","Africa","Botswana","Foot and mouth disease virus (Inf. with) ","5143","10035","Resolved","3166","2006-04-11","2006-11-08","Terrestrial","-21.96","28.34","https://wahis.oie.int/#/report-info?reportId=520"
"520","Africa","Botswana","Foot and mouth disease virus (Inf. with) ","5143","10034","Resolved","3165","2006-04-11","2006-11-08","Terrestrial","-21.93","28.21","https://wahis.oie.int/#/report-info?reportId=520"
"520","Africa","Botswana","Foot and mouth disease virus (Inf. with) ","5143","10037","Resolved","3168","2006-04-11","2006-11-08","Terrestrial","-22","28.46","https://wahis.oie.int/#/report-info?reportId=520"
"520","Africa","Botswana","Foot and mouth disease virus (Inf. with) ","5143","10036","Resolved","3167","2006-04-11","2006-11-08","Terrestrial","-21.96","28.45","https://wahis.oie.int/#/report-info?reportId=520"
"520","Africa","Botswana","Foot and mouth disease virus (Inf. with) ","5143","10039","Resolved","3170","2006-04-11","2006-11-08","Terrestrial","-21.93","28.53","https://wahis.oie.int/#/report-info?reportId=520"
