"oieReference","spicieName","totalSusceptible","totalNcase"
"1000003806","Cattle",13095,183
"1000003807","Cattle",21933,106
"1000003808","Cattle",28608,42
"1000003809","Cattle",18934,2
"1000003811","Cattle",17757,521
"1000003812","Cattle",37790,117
"1000003814","Cattle",17825,179
"1000004637","Goats",330,0
"1000004637","Cattle",3300,25
"1000004637","Sheep",5,0
"1000004724","Cattle",1500,196
"1000004724","Goats",5653,0
"1000004724","Sheep",18,0
"1000005818","Goats",262,0
"1000005818","Sheep",38,0
"1000005818","Cattle",1583,36
"1000013894","Cattle",1127,21
"1000013894","Goats",1689,125
"1000013894","Sheep",306,9
"1000014762","Cattle",349,200
"1000014762","Swine",66,0
"1000014762","Goats",99,0
"1000016201","Silver catfish (Schilbe intermedius (fau)):Schilbeidae-Wild fish",0,0
"1000016201","African pike (Hepsetus odoe (fau)):Hepsetidae-Wild fish",0,0
"1000016201","African sharptooth catfish (Clarias gariepinus (fau)):Clariidae-Wild fish",0,0
"1000018554","Cattle",250,14
"1000019500","Cattle",13049,112
"1000019500","Sheep/goats (mixed herd)",3082,0
"1000019988","Cattle",150000,303
"1000020022","Cattle",12951,32
"1000021213","Cattle",1200,15
"1000028510","Sheep/goats (mixed herd)",60000,0
"1000028510","Cattle",280000,138
"1000038374","Impala (Aepyceros melampus):Bovidae-Artiodactyla",0,8
"1000038374","Greater kudu (Tragelaphus strepsiceros):Bovidae-Artiodactyla",0,3
"1000038407","Goats",558,4
"1000041794","Cattle",226402,10
"1000044323","African Elephant (Loxodonta africana):Elephantidae-Proboscidea",71227,1
"1000044897","Cattle",1500,51
"1000046029","Cattle",25,2
"1000046182","Birds",449,202
"1000046185","Birds",41013,3212
"1000046185","Eurasian Collared-Dove (Streptopelia decaocto):Columbidae-Columbiformes",0,8
"1000046187","Birds",218,103
"1000046188","Birds",555,403
"1000046189","Birds",80,38
"1000047364","Sheep",40,2
"1000050053","Goats",30,1
"1000050053","Cattle",25,0
"1000050069","Goats",663,189
"1000055089","Cattle",1430,44
"1000055154","Birds",1172,108
"1000055156","Birds",25,6
"1000055157","Birds",152,93
"1000055158","Birds",10,7
"1000055159","Birds",170,47
"1000055160","Birds",437,213
"1000055163","Birds",70,39
"1000055165","Ring-necked Dove (Streptopelia capicola):Columbidae-Columbiformes",0,1
"1000057244","Birds",351,92
"1000057245","Birds",20,7
"1000057247","Birds",19042,1105
"1000057248","Birds",180,33
"1000057249","Birds",254,53
"1000057250","Birds",159,71
"1000057251","Birds",52,24
"1000060341","Rock Pigeon (Rock Dove) (Columba livia):Columbidae-Columbiformes",0,10
"1000060341","Birds",35,23
"1000060342","Birds",70,50
"1000060343","Birds",1295,598
"1000060344","Birds",47,25
"1000060356","African Elephant (Loxodonta africana):Elephantidae-Proboscidea",80000,1
"1000061157","Cattle",17775,1
"1000061511","Cattle",500,20
"1000061629","Cattle",1434,24
"1000061762","Cattle",439,9
"1000061848","Cattle",3304,14
"1000062126","Cattle",191,8
"1000063746","Cattle",218,18
"1000064494","Cattle",250,79
"1000064568","Cattle",330,11
"1000064569","Cattle",1068,8
"1000064570","Cattle",1159,10
"1000064571","Cattle",516,5
"1000064572","Cattle",466,7
"1000064574","Cattle",202,8
"1000064575","Cattle",170,26
"1000064780","African Elephant (Loxodonta africana):Elephantidae-Proboscidea",80000,1
"1000064930","Cattle",4493,13
"1000064932","Cattle",1116,6
"1000065064","Cattle",200,2
"1000065065","Cattle",1000,8
"1000065384","Birds",20,10
"1000065385","Birds",16,10
"1000065386","Birds",30,7
"1000065460","Goats",23,2
"1000065532","Cattle",600,6
"1000065543","Birds",100,8
"1000065544","Birds",93,14
"1000065546","Birds",20,3
"1000065547","Birds",50,8
"1000065548","Birds",140,2
"1000065551","Birds",35,23
"1000065552","Birds",14,2
"1000065553","Birds",31,5
"1000065554","Birds",21,13
"1000065555","Birds",28,3
"1000065556","Birds",620,110
"1000065557","Birds",370,22
"1000065558","Birds",51,28
"1000065559","Birds",588,303
"1000065820","Cattle",560,2
"1000069545","African Elephant (Loxodonta africana):Elephantidae-Proboscidea",80000,1
"1000069796","Equidae",2,1
"1000069797","Equidae",3,1
"1000069799","Equidae",3,1
"1000070728","Birds",300,248
"1000071171","Sheep",124,7
"1000086496","Sheep",39,1
"1000087551","Sheep",85,2
"1000093711","Cattle",343,112
"1000095593","Birds",50,15
"1000095594","Birds",59,48
"1000095595","Birds",140,23
"1000101090","Cattle",373,5
"1000102814","Cattle",471,21
"1000102815","Cattle",407,21
"1000102816","Cattle",211,1
"1000102817","Cattle",272,2
"1000102818","Cattle",254,11
"1000102819","Cattle",415,15
"1000102820","Cattle",698,2
"1000102821","Cattle",189,1
"1000102823","Cattle",9389,9
"1000102824","Cattle",2398,13
"1000102825","Cattle",1209,8
"1000103250","Cattle",6929,2
"1000103253","Cattle",236,9
"1000103254","Cattle",232,22
"1000103874","Cattle",1122,2
"1000103875","Cattle",273,7
"1000103876","Cattle",666,27
"1000106383","Cattle",50,6
"1000108468","Birds",500,7
"1000108471","Birds",59,20
"1000115369","African Elephant (Loxodonta africana):Elephantidae-Proboscidea",100000,2
"1000115572","Cattle",905,95
"1000120873","Birds",20,6
"1000120875","Birds",30,2
"1000120877","Birds",21,16
"1000120878","Birds",49,30
"1000120879","Birds",7,6
"1000120880","Birds",65,50
"1000120882","Birds",160,16
"1000120884","Birds",105,85
"1000135081","Clarias ngamensis (fau) (Clarias ngamensis (fau)):Clariidae-Wild fish",10000,3
"1000135081","Mochokidae (unidentified) (Mochokidae (fau) (incognita)):Mochokidae (fau)-Wild fish",10000,32
"1000135081","African sharptooth catfish (Clarias gariepinus (fau)):Clariidae-Wild fish",10000,3
"1000135081","Redbreast tilapia (Tilapia rendalli (fau)):Cichlidae-Wild fish",10000,1
"1000135081","Banded tilapia (Tilapia sparrmanii (fau)):Cichlidae-Wild fish",253,4
"1000135081","Silver catfish (Schilbe intermedius (fau)):Schilbeidae-Wild fish",10000,32
"1000135081","Dashtail barb (Barbus poechii (fau)):Cyprinidae-Wild fish",10000,5
"1000138215","Cattle",16750,13
"10024","Cattle",302,8
"10027","Cattle",115,2
"10028","Cattle",354,4
"10029","Cattle",502,124
"10030","Cattle",78,3
"10031","Cattle",241,1
"10032","Cattle",198,1
"10033","Cattle",339,1
"10034","Cattle",1907,10
"10035","Cattle",300,1
"10036","Cattle",308,2
"10037","Cattle",241,21
"10038","Cattle",736,85
"10039","Cattle",371,62
"10040","Cattle",2,2
"10041","Cattle",422,2
"10042","Cattle",480,4
"10043","Cattle",493,1
"10044","Cattle",363,79
"10045","Cattle",133,7
"10046","Cattle",88,1
"10047","Cattle",587,8
"10048","Cattle",521,8
"10049","Cattle",785,27
"10973","Farmed fish (species unspecified) (Pis indeterminatum):Farmed fish (family unspecified)-Farmed fish",0,0
"12247","Farmed fish (species unspecified) (Pis indeterminatum):Farmed fish (family unspecified)-Farmed fish",0,0
"14708","Birds",1736,171
"14709","Birds",550,382
"15218","Cattle",1300,123
"16589","Birds",0,0
"20133","Cattle",10540,1504
"2613","Cattle",2336,201
"9864","Cattle",2000,13
"9871","Cattle",295,8
"9872","Cattle",349,89
"9873","Cattle",1907,8
"9874","Cattle",542,1
"9875","Cattle",241,7
"9876","Cattle",590,73
"9877","Cattle",480,1
"ob_90504","Birds",25,8
